angle_btwn_B0_Ey,angle_btwn_B0_sBy
90.0,90.0
90.0,90.0
58.893576592208056,123.89653496801004
67.06559672887481,123.84898640554812
78.29062907703829,118.14956551895087
90.9195093815354,108.3299234063684
103.57236510404795,96.20344715784937
114.79833253057996,83.3358756253209
122.83515739552249,71.11501208275659
125.7945316231266,61.09241417190254
122.83312779360121,55.1020440810884
114.87225930567568,54.73966808379556
103.75757210057688,60.1320264394693
91.1630859091015,69.79989253925342
78.48819928536228,81.8808734128594
67.18198939747849,94.76882253469466
58.97905857987463,107.05132518295154
55.729189507477365,117.18758825458647
58.34744712569654,123.36568483082327
65.99660067073124,124.02692780618806
76.91233795455315,118.95721485439216
89.4008647184537,109.567920871221
102.0782127232573,97.67123521193416
113.51341437050904,84.86198717791164
121.97037726628209,72.56800383342018
125.60936524449457,62.21376984694976
123.3386216739526,55.682901025450676
115.92064880212612,54.61116191623287
105.12468447184128,59.36064826297235
92.67793457305392,68.57974079519438
79.99562638020433,80.40881573356569
68.48638992428693,93.22948490945963
59.859775570466354,105.60803680158457
55.95717005740969,116.04615602287618
57.892232416132245,122.74812177799973
64.99296117665938,124.10848594679935
75.56493951067013,119.69044239218795
87.89741684854775,110.75541133942221
100.57639908856764,99.11958134936783
112.19128251292102,86.39625729224221
121.07563639000313,73.99192434644455
125.32931473570056,63.385063170513135
123.76588558905259,56.337485250859594
116.9050707746022,54.57927684068826
106.45920216806114,58.66129252968787
94.18588100989486,67.3936045215104
81.50563882468977,78.96207623747122
69.83155827716638,91.68384868392411
60.80019017844503,104.14783788933954
56.27777882778171,114.85782968596779
57.50143461565278,122.07375224297762
64.04424567320542,124.10251782710777
74.25581621634333,120.35320332034782
86.4151348272576,111.88853286991966
99.06542989110406,100.53715381903878
110.83936333482104,87.91685034392444
120.09685328526238,75.45515769442125
124.96044609880624,64.60082938355824
124.10050869147128,57.07437991755892
117.81493104046383,54.64212990647822
107.75379359189178,58.03732258359606
95.66242268857118,66.28281890128609
83.01735070810089,77.55129903885732
71.18972440765619,90.17032002244028
61.799243822019974,102.68017342090081
56.68331140518927,113.63029974347181
57.210636572019915,121.31932105230068
63.164801198235786,124.00488104411342
72.99550202360571,120.92692244453748
84.94183582331024,112.98498436455488
97.55687479831943,101.92587366546873
109.4557780457175,89.43620227457826
119.06400967889698,76.92786225718629
124.50850049753248,65.85753346140437
124.34958157318363,57.87677109556823
118.67336282695166,54.7857242493801
109.0044300032828,57.49560883978241
97.12873601526111,65.21280603120313
84.5254896771247,76.17114743704373
72.58157892838554,88.6553497768047
62.852047084221304,101.19761293746637
57.17357320729882,112.36055198560285
57.01637009607906,120.49498331403205
62.35073475743562,123.82440398088707
71.76516932784646,121.42882342299256
83.49119742178289,114.01712617017103
96.0461957444373,103.2816487892354
108.05523071029036,90.93522729468286
117.98391934039618,78.41413996166008
